nom_du_produit;id_categorie;id_produit;nom_de_la_categorie
"PERFECTHA COMPLEMENT";86;97;"Dermal Filler"
"ELLANSÉ ™ S";86;98;"Dermal Filler"
"ELLANSÉ ™ M";86;99;"Dermal Filler"
"Sculptra 2 flacons de 5ml";86;100;"Dermal Filler"
"CytoCare ® 502 (10x5ml)";86;101;"Dermal Filler"
"CytoCare ® 516 (10x5ml)";29;103;Cytocare
"CytoCare 532 (10x5ml)";86;104;"Dermal Filler"
"CytoCare ® 516 (5x5ml)";86;111;"Dermal Filler"
"CytoCare ® HairCare (10x5ml)";86;113;"Dermal Filler"
"RESTYLANE FYNESSE 1x1ml - GALDERMA";86;114;"Dermal Filler"
"RESTYLANE DEYFINE lido (1x1ml)";86;115;"Dermal Filler"
"RESTYLANE SKINBOOSTERS Vital Light lidocaine 1x1ml";96;116;MESOTHERAPIE
"TEOSYAL PureSense Ultimate 3ml";14;118;Teoxane
"STYLAGE L (2x1ml)";86;119;"Dermal Filler"
"STYLAGE L Lidocaine (2x1ml)";86;120;"Dermal Filler"
